t, days	M, rad	E, rad	Phi, rad	
509	4.65531	4.56296	4.4711
510	4.66446	4.57198	4.47997
511	4.6736	4.58101	4.48885
512	4.68275	4.59005	4.49774
513	4.69189	4.5991	4.50665
514	4.70104	4.60815	4.51557
515	4.71019	4.61721	4.52451
516	4.71933	4.62628	4.53347
517	4.72848	4.63536	4.54244
518	4.73762	4.64445	4.55142
519	4.74677	4.65354	4.56042
520	4.75592	4.66264	4.56943
521	4.76506	4.67174	4.57846
522	4.77421	4.68086	4.58751
523	4.78335	4.68998	4.59657
524	4.7925	4.69911	4.60564
525	4.80165	4.70825	4.61474
526	4.81079	4.7174	4.62384
527	4.81994	4.72655	4.63297
528	4.82908	4.73572	4.6421
529	4.83823	4.74488	4.65126
530	4.84738	4.75406	4.66043
531	4.85652	4.76325	4.66961
532	4.86567	4.77244	4.67881
533	4.87481	4.78164	4.68803
534	4.88396	4.79085	4.69726
535	4.89311	4.80007	4.70651
536	4.90225	4.8093	4.71578
537	4.9114	4.81853	4.72506
538	4.92054	4.82777	4.73435
539	4.92969	4.83702	4.74367
540	4.93884	4.84628	4.753
541	4.94798	4.85554	4.76234
542	4.95713	4.86482	4.7717
543	4.96627	4.8741	4.78108
544	4.97542	4.88339	4.79048
545	4.98457	4.89269	4.79989
546	4.99371	4.90199	4.80931
547	5.00286	4.91131	4.81876
548	5.012	4.92063	4.82822
549	5.02115	4.92996	4.83769
550	5.0303	4.9393	4.84719
551	5.03944	4.94864	4.8567
552	5.04859	4.958	4.86622
553	5.05773	4.96736	4.87576
554	5.06688	4.97673	4.88532
555	5.07603	4.98611	4.8949
556	5.08517	4.9955	4.90449
557	5.09432	5.00489	4.9141
558	5.10346	5.01429	4.92372
559	5.11261	5.0237	4.93337
560	5.12176	5.03312	4.94302
561	5.1309	5.04255	4.9527
562	5.14005	5.05199	4.96239
563	5.14919	5.06143	4.9721
564	5.15834	5.07088	4.98183
565	5.16749	5.08034	4.99157
566	5.17663	5.08981	5.00133
567	5.18578	5.09929	5.0111
568	5.19492	5.10877	5.02089
569	5.20407	5.11826	5.0307
570	5.21322	5.12776	5.04053
571	5.22236	5.13727	5.05037
572	5.23151	5.14679	5.06023
